,WELLNAME,FILTERED_MD_LAST_VALUE,FILTERED_TVD_LAST_VALUE,Обводненность_для_расчета_PVT_параметров,Глубина_по_стволу_cs,Внутренний_диаметр_эксплуатационной_колонны_cs,Внутренняя_шероховатость_эксплуатационной_колонны_cs,Глубина_по_стволу,Внутренний_диаметр_НКТ,Внутренняя_шероховатость_НКТ,Внешний_диаметр_НКТ,Внутренний_диаметр_эксплуатационной_колонны,Газовый_фактор,Коэффициент_продуктиности,Забойное давление,Глубина_спуска_ЭЦН_по_стволу_MD,Коэффициент_износа,Содержание_растворенного_газа,Плотность_нефти,Удельный_вес_газа,Корреляция_вязкости_нефти,Пластовое_давление
23,1124_AR_INJ,4130.0,3128.26,100.0,1172.0,0.16,0.0001524,494.0,0.062,0.0001524,0.073,0.16,104.64679895,10.180200125,-2122.13145713854,0.0,0.0,255.13200625,858.935000863,0.661599994,0,99.075508798
24,112_URM_INJ,3265.0,3094.14,100.0,3253.0,0.16,0.0001524,3138.0,0.0677368,0.0001524,0.079,0.16,0.0,1.463580005,-45747.8042306572,0.0,0.0,285.943002344,833.945999661,0.993130028,0,293.238775824
25,114_URM,3320.0,3063.63,86.900001526,3288.1,0.1596,0.0001524,3017.32,0.062,0.0001524,0.073,0.1596,269.999999072,0.523441381,1.16134563187731,3017.319975,0.140000001,285.943002344,833.945999661,0.993130028,0,194.195894511
26,1179_AR,3190.0,3024.7,86.0,3184.0,0.1596,0.0001524,2945.0,0.062,0.0001524,0.073,0.1596,16368.750325,0.097766893,49.3781718516233,2949.729979687,0.0,285.943002344,833.945999661,0.993130028,0,185.370285726
27,1201_AR,3890.0,3077.02,86.800003052,3610.0,0.1596,0.0001524,3258.55,0.062,1.524e-05,0.073,0.1596,3002.573360156,0.831798355,35.2012658903663,3258.550125,0.07,255.13200625,858.935000863,0.661599994,2,135.06435605
28,1202_AR,3667.0,3082.18,92.300003052,3564.1,0.1596,0.0001524,3187.17,0.0647,0.0001524,0.0757,0.1596,3092.145883594,1.498974679,23.4209457682093,3186.489928125,0.310000002,255.13200625,858.935000863,0.661599994,2,119.66857913
29,1205_AR,3807.0,3082.46,66.199996948,3580.0,0.1596,1.524e-05,3180.0,0.062,1.524e-05,0.073,0.1596,511.77851875,2.077265319,40.9810079373298,3180.000128906,0.340000004,255.13200625,858.935000863,0.661599994,2,110.842978761
30,1206_AR,3605.0,3085.72,46.25,3555.0,0.1596,0.0001524,3377.0,0.062,0.0001524,0.073,0.1596,4542.616829688,0.46784773,87.589578962615,0.0,0.0,185.24799917,859.030003704,0.667810023,1,214.788964844
31,1207_AR,3790.0,3061.67,45.099998474,3368.0,0.1596,0.0001524,2763.4,0.062,0.0001524,0.073,0.1596,525.999986816,0.44973442,115.533101949581,2763.40014375,0.230000004,255.13200625,858.935000863,0.661599994,2,282.648052015
32,1208_AR,3848.0,3068.16,34.75,3448.0,0.1596,0.0001524,3379.8,0.062,0.0001524,0.073,0.1596,2561.663939453,0.917062683,60.9038438175782,0.0,0.0,255.13200625,858.935000863,0.661599994,2,143.889956419
33,120G_URM,3850.0,3001.92,98.400001526,3845.0,0.1596,0.0001524,3432.6,0.062,0.0001524,0.073,0.1596,3071.63740625,0.67415006,11.414222079804,3432.599854688,0.015,285.943002344,833.945999661,0.993130028,0,186.448971806
34,1210_AR,3520.0,3040.65,85.349998474,3520.0,0.1596,1.524e-05,3111.0,0.062,1.524e-05,0.073,0.1596,3841.826477344,0.894910533,33.612323770536,3111.000135938,0.0,255.13200625,858.935000863,0.661599994,1,122.610448725
35,1212_AR,3750.0,2944.84,96.150001526,3701.0,0.1596,0.0001524,3270.79,0.062,0.0001524,0.073,0.1596,1429.060634961,1.922869758,13.369807401631,3270.790047656,0.0,255.13200625,858.935000863,0.661599994,2,106.920483163
36,1214_AR,4001.0,3086.17,90.300003052,3456.43,0.1596,0.0001524,3183.58,0.062,0.0001524,0.073,0.1596,705.639774707,3.262091474,28.8470103625747,3183.580040625,0.07,255.13200625,858.935000863,0.661599994,2,129.474805503
