,Обводненность_для_расчета_PVT_параметров,Глубина_по_стволу_cs,Внутренний_диаметр_эксплуатационной_колонны_cs,Внутренняя_шероховатость_эксплуатационной_колонны_cs,Глубина_по_стволу,Внутренний_диаметр_НКТ,Внутренняя_шероховатость_НКТ,Внешний_диаметр_НКТ,Внутренний_диаметр_эксплуатационной_колонны,FILTERED_MD_LAST_VALUE,FILTERED_TVD_LAST_VALUE,Газовый_фактор,Коэффициент_продуктиности,Глубина_спуска_ЭЦН_по_стволу_MD,Частота_ЭЦН,Количество_ступеней,Коэффициент_износа,Содержание_растворенного_газа,Плотность_нефти,Удельный_вес_газа,Корреляция_вязкости_нефти,Пластовое_давление
142,95.300003052,3438.0,0.1596,0.0001524,3050.13,0.062,0.0001524,0.073,0.1596,3438.0,3076.04,785.47499375,4.456604907,3050.130028125,37.0,304,0.0,285.943002344,833.945999661,0.993130028,0,217.730834439
143,94.25,3540.2,0.1596,0.0001524,3093.77,0.062,0.0001524,0.073,0.1596,3608.88,3082.52,799.398950977,3.470053089,3094.77013125,54.700000763,354,0.090000004,285.943002344,833.945999661,0.993130028,0,211.847095249
144,91.5,3472.0,0.1596,0.0001524,3082.45,0.062,0.0001524,0.073,0.1596,3472.0,2740.8,420.367631836,0.706585787,3082.29,52.599998474,364,0.239999995,285.943002344,833.945999661,0.993130028,0,109.862352758
145,85.099998474,3351.86,0.1468,1.524e-05,2723.0,0.062,1.524e-05,0.073,0.1468,3351.86,2762.77,828.682462305,0.505605329,2722.99985625,50.0,400,0.109999999,41.600000983,879.600003149,0.612023115,1,149.087249831
146,92.599998474,3274.0,0.147,1.524e-05,2340.77,0.062,1.524e-05,0.073,0.147,3660.0,2770.0,582.528949902,0.735979137,2340.769940625,53.0,390,0.349999994,41.600000983,879.600003149,0.612023115,1,159.874110624
147,59.799999237,2877.0,0.1468,0.0001524,2759.72,0.062,0.0001524,0.073,0.1468,2967.0,2838.6,402.985073242,0.432680421,2759.719921875,54.0,406,0.230000004,41.600000983,879.600003149,0.612023115,1,204.982738471
148,89.949996948,3012.0,0.156,1.524e-05,2906.75,0.062,1.524e-05,0.073,0.156,3150.0,3149.15,4329.109172656,0.297396213,2906.749905469,53.700000763,431,0.270000011,255.13200625,858.935000863,0.661599994,1,319.715585347
149,100.0,1334.0,0.125,0.0001524,1233.0,0.062,0.0001524,0.073,0.125,3300.0,3300.0,104.64679895,8.672060039,0.0,0.0,0,0.0,255.13200625,858.935000863,0.661599994,0,99.075508798
150,70.61693192439203,3344.863028571429,0.1557371428571428,0.0001022386285714,2938.444124293785,0.062795293220339,0.0001137439548022,0.0737022598870056,0.1582350282485875,3579.7329775280896,3055.6238764044947,2128.045113809023,9.216998375051428,0.0,0.0,0,0.0,285.942331787,833.945774672,0.993130028,0,1.013253489
151,94.199996948,3525.21,0.1596,1.524e-05,3020.39,0.062,1.524e-05,0.073,0.1596,3525.21,2989.21,14067.89969375,0.256214643,3020.390001562,50.0,418,0.300000012,285.943002344,833.945999661,0.993130028,0,199.999997238
152,42.900001526,3548.0,0.1468,0.0001524,3280.0,0.062,0.0001524,0.073,0.1468,3564.0,3015.84,285.943002344,0.682645293,3280.000127344,54.0,401,0.039999999,285.943002344,833.945999661,0.993130028,0,290.296889396
153,98.199996948,3300.0,0.1468,0.0001524,3013.0,0.062,0.0001524,0.073,0.1468,3306.0,2998.61,871.708837305,1.058853319,3013.000089844,50.0,401,0.360000014,285.943002344,833.945999661,0.993130028,0,290.296889396
154,100.0,1173.0,0.122,0.0001524,1041.0,0.0778416,0.0001524,0.089,0.122,3279.0,3279.0,0.0,2.74801998,0.0,0.0,0,0.0,285.943002344,833.945999661,0.993130028,0,99.075508798
155,100.0,1289.0,0.157,0.0001524,1148.0,0.078,0.0001524,0.089,0.157,3220.0,3095.29,0.0,7.206019937,0.0,0.0,0,0.0,285.943002344,833.945999661,0.993130028,0,99.075508798
156,95.449996948,3112.0,0.1572,0.0001524,2346.29,0.062,0.0001524,0.073,0.1572,3200.0,3167.0,269.999999072,20.74999594,2346.289975781,47.0,268,0.01,285.943002344,833.945999661,0.993130028,0,231.067290859
157,100.0,3266.0,0.16,0.0001524,3091.0,0.0690306,0.0001524,0.08,0.16,3296.0,3091.06,0.0,16.08339993,0.0,0.0,0,0.0,285.943002344,833.945999661,0.993130028,0,320.696202934
158,94.300003052,3181.0,0.156,1.524e-05,2864.0,0.062,1.524e-05,0.073,0.156,3370.0,3095.13,799.856746484,0.319372814,2863.999919531,52.0,314,0.150000006,285.943002344,833.945999661,0.993130028,0,237.343287184
159,100.0,1375.0,0.16,0.0001524,1179.0,0.0778579,0.0001524,0.089,0.16,3600.0,3075.47,0.0,4.19479273,0.0,0.0,0,0.0,285.943002344,833.945999661,0.993130028,0,216.000008038
160,100.0,3476.0,0.16,0.0001524,1.0,0.078,0.0001524,0.089,0.16,3540.0,3087.69,0.0,4.19479273,0.0,0.0,0,0.0,285.943002344,833.945999661,0.993130028,0,216.000008038
161,100.0,3520.0,0.157,0.0001524,1.0,0.078,0.0001524,0.089,0.157,3520.0,2981.55,0.0,13.488199861,0.0,0.0,0,0.0,285.943002344,833.945999661,0.993130028,0,340.308655679
162,58.0,3320.0,0.148,1.524e-05,3013.0,0.062,1.524e-05,0.073,0.148,3320.0,3097.64,10892.893082812,0.405267972,3013.000089844,59.0,401,0.189999998,285.943002344,833.945999661,0.993130028,0,98.094882794
163,73.0,3320.0,0.148,1.524e-05,3109.24,0.062,1.524e-05,0.073,0.148,3990.0,3129.09,4078.542835156,0.509143807,3109.240094531,52.0,376,0.059999999,285.943002344,833.945999661,0.993130028,0,159.874110624
164,12.56000042,3370.0,0.16,1.524e-05,3074.3,0.062,1.524e-05,0.073,0.16,3370.0,3095.13,3007.530114844,0.518509984,3074.300013281,58.325000763,418,0.400000006,285.943002344,833.945999661,0.993130028,0,182.428416131
165,61.400001526,3462.0,0.16,1.524e-05,3292.0,0.062,1.524e-05,0.073,0.1596,3831.0,3124.55,11494.370795312,0.530862804,0.0,0.0,0,0.0,285.943002344,833.945999661,0.993130028,0,182.428416131
166,3.599999905,3490.0,0.156,1.524e-05,3000.12,0.062,1.524e-05,0.073,0.156,3923.35,3124.66,1563.385243359,0.217026516,3000.119908594,58.0,401,0.5,285.943002344,833.945999661,0.993130028,0,159.874110624
167,34.200000763,3447.01,0.1596,1.524e-05,3193.57,0.062,1.524e-05,0.073,0.1596,3450.0,3074.38,720.280319043,0.303814884,3193.569979688,50.5,401,-0.129999995,285.943002344,833.945999661,0.993130028,0,130.749611733
168,38.599998474,3585.0,0.1596,0.0001524,3046.14,0.062,0.0001524,0.073,0.1596,3585.0,3069.69,2449.773214453,0.808461306,3046.139946094,58.5,369,0.0,255.13200625,858.935000863,0.661599994,2,158.893476204
169,85.949996948,3280.0,0.1596,0.0001524,2909.0,0.062,0.0001524,0.073,0.1596,3350.0,3115.18,443.67432041,5.77097165,2908.999889063,57.0,354,0.25,255.13200625,858.935000863,0.661599994,2,221.653321621
170,83.25,3280.0,0.1596,0.0001524,2909.0,0.062,0.0001524,0.073,0.1596,3350.0,3115.18,521.401785254,7.046989787,2908.999889063,56.0,354,0.150000006,255.13200625,858.935000863,0.661599994,2,229.498295986
171,95.050003052,3345.0,0.1596,0.0001524,3044.9,0.062,0.0001524,0.073,0.1596,3357.0,3146.53,472.790149316,5.75931096,3044.899910156,53.099998474,434,0.270000011,255.13200625,858.935000863,0.661599994,2,144.968642498
172,91.199996948,3577.22,0.1596,0.0001524,3287.56,0.062,0.0001524,0.073,0.1596,3974.87,3096.33,2958.7084,3.169796921,3288.160075781,56.0,401,0.170000002,255.13200625,858.935000863,0.661599994,2,124.571692316
173,85.800003052,3590.0,0.1596,0.0001524,3228.06,0.062,0.0001524,0.073,0.1596,3590.0,3060.85,2088.390946094,1.335173185,3228.060004688,58.0,418,0.200000003,255.13200625,858.935000863,0.661599994,2,122.708508801
174,64.300003052,3738.0,0.1596,0.0001524,3308.0,0.062,0.0001524,0.073,0.1596,3924.0,3062.26,6945.90775,0.258638542,3308.000055469,58.0,401,0.100000001,255.13200625,858.935000863,0.661599994,2,142.222893054
175,84.300003052,3656.0,0.1596,0.0001524,3314.37,0.062,1.524e-05,0.073,0.1596,4014.0,3069.08,3605.341310156,2.555687868,3316.769901563,52.5,318,0.25,255.13200625,858.935000863,0.661599994,2,148.400820887
176,91.800003052,3426.0,0.1596,0.0001524,3157.89,0.062,0.0001524,0.073,0.1596,3450.0,3003.19,130.000004761,2.136903069,3157.889925,53.0,342,0.0,130.000004761,869.000004744,0.798330009,1,205.963356059
177,89.650001526,3453.0,0.1596,1.524e-05,3057.0,0.062,1.524e-05,0.073,0.1596,3590.0,3030.4,130.000004761,13.460412124,3056.999934375,47.900001526,318,0.02,130.000004761,869.000004744,0.798330009,1,124.571692316
178,80.699996948,3160.0,0.1596,1.524e-05,3058.5,0.062,1.524e-05,0.073,0.1596,3960.0,2951.11,256.643722119,2.431851451,3058.500121875,47.5,401,-0.25,255.13300127,858.935000863,0.661599994,1,161.73729414
179,70.0,3054.0,0.1596,0.0001524,2838.75,0.062,0.0001524,0.073,0.1596,3054.0,3053.88,964.44448457,1.40599772,2838.7500375,57.900001526,400,0.319999993,255.13200625,858.935000863,0.661599994,2,125.55231832
