"","WELLNAME","FLUID","PROP_CORR","VISC_CORR","PVT_IS_MATCHED","OilBubpnt","OilSolgor","OilOilfvf","OilOilvis","GasZfact","GasGasfvf","GasGasvis","ConDewpnt","ConCgr","ConZFact","ConGasfvf","ConGasvis","OilBubpnt_p1","OilBubpnt_p2","OilBubpnt_sd","OilSolgor_p1","OilSolgor_p2","OilSolgor_sd","OilOilfvf_p1","OilOilfvf_p2","OilOilfvf_p3","OilOilfvf_p4","OilOilfvf_sd","OilOilvis_p1","OilOilvis_p2","OilOilvis_sd","GasZfact_p1","GasZfact_p2","GasZfact_sd","GasGasfvf_p1","GasGasfvf_p2","GasGasfvf_sd","GasGasvis_p1","GasGasvis_p2","GasGasvis_sd","ConDewpnt_p1","ConDewpnt_p2","ConDewpnt_sd","ConCgr_p1","ConCgr_p2","ConCgr_sd","ConZFact_p1","ConZFact_p2","ConZFact_sd","ConGasfvf_p1","ConGasfvf_p2","ConGasfvf_sd","ConGasvis_p1","ConGasvis_p2","ConGasvis_sd"
"COLUMN_LABELS","Имя_скважины","Флюид","Корреляция_для_свойств(Pb, Rs, FVF)","Корреляция_вязкости","Флаг_модель_PVT_адаптирована","OilBubpnt","OilSolgor","OilOilfvf","OilOilvis","GasZfact","GasGasfvf","GasGasvis","ConDewpnt","ConCgr","ConZFact","ConGasfvf","ConGasvis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1316_AR","1316_AR","Oil and Water","Lasater","Petroskyetal","Yes","","","","","","","","","","","","","0.96446","-180.944","3.4E+35","1.1793","-13.8804","19.0568","1.08252","-0.14352","1","1.0E-8","0.0080396","1.79906","-0.40638","0.20024","","","","","","","","","","","","","","","","","","","","","","","",""
"131_URM","131_URM","Oil and Water","Glaso","Bealetal","Yes","","","","","","","","","","","","","0.66137","-4966.09","0","9.08092","15.717","15.8596","1.04171","-0.00950924","1","8.62628","0.01799","-0.00961142","0.201233","0.492391","","","","","","","","","","","","","","","","","","","","","","","",""
"1323_AR","1323_AR","Oil and Water","Lasater","Petroskyetal","Yes","","","","","","","","","","","","","0.96446","-180.944","3.4E+35","1.1793","-13.8804","19.0568","1.08252","-0.14352","1","1.0E-8","0.0080396","1.79906","-0.40638","0.20024","","","","","","","","","","","","","","","","","","","","","","","",""
"132_URM","132_URM","Oil and Water","Glaso","Beggsetal","Yes","","","","","","","","","","","","","0.974761","-126.066","3.4E+35","1.12705","-74.5191","3.4E+35","0.890844","0.165264","0.806507","12.0565","3.4E+35","11.7279","-3.65253","3.4E+35","","","","","","","","","","","","","","","","","","","","","","","",""
"1331_AR","1331_AR","Oil and Water","Standing","Beggsetal","Yes","","","","","","","","","","","","","0.96552","-169.782","3.4E+35","1.08334","-2.25005","5.41886","0.96875","0.038094","1","4.0038","0.0087678","4.36196","-1.49575","0.203","","","","","","","","","","","","","","","","","","","","","","","",""
"1333_AR","1333_AR","Oil and Water","Lasater","Petroskyetal","Yes","","","","","","","","","","","","","0.96446","-180.944","3.4E+35","1.1793","-13.8804","19.0568","1.08252","-0.14352","1","1.0E-8","0.0080396","1.79906","-0.40638","0.20024","","","","","","","","","","","","","","","","","","","","","","","",""
"1340_AR","1340_AR","Oil and Water","Lasater","Petroskyetal","Yes","","","","","","","","","","","","","0.96446","-180.944","3.4E+35","1.1793","-13.8804","19.0568","1.08252","-0.14352","1","1.0E-8","0.0080396","1.79906","-0.40638","0.20024","","","","","","","","","","","","","","","","","","","","","","","",""
"1341_AR","1341_AR","Oil and Water","Lasater","Petroskyetal","Yes","","","","","","","","","","","","","0.96446","-180.944","3.4E+35","1.1793","-13.8804","19.0568","1.08252","-0.14352","1","1.0E-8","0.0080396","1.79906","-0.40638","0.20024","","","","","","","","","","","","","","","","","","","","","","","",""
"1342_AR","1342_AR","Oil and Water","Lasater","Petroskyetal","Yes","","","","","","","","","","","","","0.96446","-180.944","3.4E+35","1.1793","-13.8804","19.0568","1.08252","-0.14352","1","1.0E-8","0.0080396","1.79906","-0.40638","0.20024","","","","","","","","","","","","","","","","","","","","","","","",""
"1350_AR","1350_AR","Oil and Water","Lasater","Petroskyetal","Yes","","","","","","","","","","","","","0.96446","-180.944","3.4E+35","1.1793","-13.8804","19.0568","1.08252","-0.14352","1","1.0E-8","0.0080396","1.79906","-0.40638","0.20024","","","","","","","","","","","","","","","","","","","","","","","",""
"1351_AR","1351_AR","Oil and Water","Lasater","Petroskyetal","Yes","","","","","","","","","","","","","0.96446","-180.944","3.4E+35","1.1793","-13.8804","19.0568","1.08252","-0.14352","1","1.0E-8","0.0080396","1.79906","-0.40638","0.20024","","","","","","","","","","","","","","","","","","","","","","","",""
"135_URM","135_URM","Oil and Water","Glaso","Bealetal","Yes","","","","","","","","","","","","","0.66137","-4966.09","0","9.08092","15.717","15.8596","1.04171","-0.00950924","1","8.62628","0.01799","-0.00961142","0.201233","0.492391","","","","","","","","","","","","","","","","","","","","","","","",""
"141_KLG","141_KLG","Oil and Water","Standing","Beggsetal","Yes","","","","","","","","","","","","","1.02283","38.9599","3.4E+35","0.97219","-11.1306","3.4E+35","0.585546","0.417107","1","0","3.4E+35","0.950003","-0.0311093","3.4E+35","","","","","","","","","","","","","","","","","","","","","","","",""
"147_KLG","147_KLG","Oil and Water","Standing","Beggsetal","Yes","","","","","","","","","","","","","1.02283","38.9599","3.4E+35","0.97219","-11.1306","3.4E+35","0.585546","0.417107","1","0","3.4E+35","0.950003","-0.0311093","3.4E+35","","","","","","","","","","","","","","","","","","","","","","","",""
"149_URM","149_URM","Oil and Water","Glaso","Bealetal","Yes","","","","","","","","","","","","","0.66137","-4966.09","0","9.08092","15.717","15.8596","1.04171","-0.00950924","1","8.62628","0.01799","-0.00961142","0.201233","0.492391","","","","","","","","","","","","","","","","","","","","","","","",""
"156_URM","156_URM","Oil and Water","Glaso","Bealetal","Yes","","","","","","","","","","","","","0.66137","-4966.09","0","9.08092","15.717","15.8596","1.04171","-0.00950924","1","8.62628","0.01799","-0.00961142","0.201233","0.492391","","","","","","","","","","","","","","","","","","","","","","","",""
"1601_AR","1601_AR","Oil and Water","Lasater","Petroskyetal","Yes","","","","","","","","","","","","","0.96446","-180.944","3.4E+35","1.1793","-13.8804","19.0568","1.08252","-0.14352","1","1.0E-8","0.0080396","1.79906","-0.40638","0.20024","","","","","","","","","","","","","","","","","","","","","","","",""
"1604_AR","1604_AR","Oil and Water","Lasater","Petroskyetal","Yes","","","","","","","","","","","","","0.96446","-180.944","3.4E+35","1.1793","-13.8804","19.0568","1.08252","-0.14352","1","1.0E-8","0.0080396","1.79906","-0.40638","0.20024","","","","","","","","","","","","","","","","","","","","","","","",""
"1605_AR","1605_AR","Oil and Water","Lasater","Petroskyetal","Yes","","","","","","","","","","","","","0.96446","-180.944","3.4E+35","1.1793","-13.8804","19.0568","1.08252","-0.14352","1","1.0E-8","0.0080396","1.79906","-0.40638","0.20024","","","","","","","","","","","","","","","","","","","","","","","",""
