"","INDEX","WELLNAME","MD","TVD","ZENITH"
"COLUMN_LABELS","Индекс","Имя_скважины","Глубина_по_стволу","Глубина_по_вертикали","Зенитный_угол"
"10_1004_AR","10","1004_AR","2946.8","2703.36","37.244024189066"
"11_1004_AR","11","1004_AR","2995.9","2739.66","42.3275384037"
"12_1004_AR","12","1004_AR","3069.7","2789.2","47.834553167466"
"13_1004_AR","13","1004_AR","3217.4","2876.33","53.849237449863"
"14_1004_AR","14","1004_AR","3266.6","2901.26","59.55524640197"
"15_1004_AR","15","1004_AR","3315.8","2922.35","64.61754241061"
"16_1004_AR","16","1004_AR","3364.9","2938.75","70.487517251303"
"17_1004_AR","17","1004_AR","3467.7","2965.54","74.894148273031"
"18_1004_AR","18","1004_AR","3491.9","2969.31","81.037666303539"
"0_1009_AR","0","1009_AR","0","0","0.40514318632152"
"1_1009_AR","1","1009_AR","400","399.99","0.40514318632152"
"2_1009_AR","2","1009_AR","410","409.99","0"
"3_1009_AR","3","1009_AR","480","479.85","3.6243074940077"
"4_1009_AR","4","1009_AR","640","638.52","7.3927285241391"
"5_1009_AR","5","1009_AR","710","706.54","13.659985862131"
"6_1009_AR","6","1009_AR","800","791.77","18.737541767368"
"7_1009_AR","7","1009_AR","2800","2653.22","21.451887325371"
"8_1009_AR","8","1009_AR","2950","2785.04","28.502054768788"
"9_1009_AR","9","1009_AR","3010","2833.85","35.560685839523"
"10_1009_AR","10","1009_AR","3050","2864.07","40.930922137486"
"11_1009_AR","11","1009_AR","3100","2897.85","47.499239003181"
"12_1009_AR","12","1009_AR","3200","2958.02","53.008251553445"
"13_1009_AR","13","1009_AR","3320","3023.32","57.032265072003"
"14_1009_AR","14","1009_AR","3390","3055.87","62.289777950749"
"15_1009_AR","15","1009_AR","3470","3086.72","67.31745349445"
"16_1009_AR","16","1009_AR","3570","3115.3","73.393325642329"
"17_1009_AR","17","1009_AR","3600","3120","80.986529737702"
"18_1009_AR","18","1009_AR","3620","3120.76","87.822236048719"
"19_1009_AR","19","1009_AR","3625.24","3120.53","92.515699320808"
"0_1009_AR_FPZ","0","1009_AR_FPZ","0","0","0.40514318632152"
"1_1009_AR_FPZ","1","1009_AR_FPZ","400","399.99","0.40514318632152"
"2_1009_AR_FPZ","2","1009_AR_FPZ","410","409.99","0"
"3_1009_AR_FPZ","3","1009_AR_FPZ","480","479.85","3.6243074940077"
"4_1009_AR_FPZ","4","1009_AR_FPZ","640","638.52","7.3927285241391"
"5_1009_AR_FPZ","5","1009_AR_FPZ","710","706.54","13.659985862131"
"6_1009_AR_FPZ","6","1009_AR_FPZ","800","791.77","18.737541767368"
"7_1009_AR_FPZ","7","1009_AR_FPZ","2800","2653.22","21.451887325371"
"8_1009_AR_FPZ","8","1009_AR_FPZ","2950","2785.04","28.502054768788"
"9_1009_AR_FPZ","9","1009_AR_FPZ","3010","2833.85","35.560685839523"
"10_1009_AR_FPZ","10","1009_AR_FPZ","3050","2864.07","40.930922137486"
"11_1009_AR_FPZ","11","1009_AR_FPZ","3100","2897.85","47.499239003181"
"12_1009_AR_FPZ","12","1009_AR_FPZ","3200","2958.02","53.008251553445"
"13_1009_AR_FPZ","13","1009_AR_FPZ","3320","3023.32","57.032265072003"
"14_1009_AR_FPZ","14","1009_AR_FPZ","3390","3055.87","62.289777950749"
"15_1009_AR_FPZ","15","1009_AR_FPZ","3470","3086.72","67.31745349445"
"16_1009_AR_FPZ","16","1009_AR_FPZ","3570","3115.3","73.393325642329"
"17_1009_AR_FPZ","17","1009_AR_FPZ","3600","3120","80.986529737702"
"18_1009_AR_FPZ","18","1009_AR_FPZ","3620","3120.76","87.822236048719"
"19_1009_AR_FPZ","19","1009_AR_FPZ","3625.24","3120.53","92.515699320808"
"0_100_URM_INJ","0","100_URM_INJ","0","0","5.1264000819477"
"1_100_URM_INJ","1","100_URM_INJ","250","249","5.1264000819477"
"2_100_URM_INJ","2","100_URM_INJ","260","259","0"
"3_100_URM_INJ","3","100_URM_INJ","440","427","21.039469781317"
"4_100_URM_INJ","4","100_URM_INJ","3410","2706","39.884373587988"
"5_100_URM_INJ","5","100_URM_INJ","3860","3123","22.078968807387"
"6_100_URM_INJ","6","100_URM_INJ","3870","3133","0"
"0_1010_AR","0","1010_AR","0","0","1.0460875589755"
"1_1010_AR","1","1010_AR","60","59.99","1.0460875589755"
"2_1010_AR","2","1010_AR","70","69.99","2.0913097891519E-6"
"3_1010_AR","3","1010_AR","420","419.75","2.1219446379743"
"4_1010_AR","4","1010_AR","550","548.2","8.8565435000642"
"5_1010_AR","5","1010_AR","630","625.63","14.562258955259"
"6_1010_AR","6","1010_AR","2300","2187.79","20.703060281622"
"7_1010_AR","7","1010_AR","2850","2695.27","22.677299995882"
"8_1010_AR","8","1010_AR","2930","2762.62","32.661352148454"
"9_1010_AR","9","1010_AR","3040","2849.2","38.085522536978"
"10_1010_AR","10","1010_AR","3180","2950.19","43.833357369979"
