"","INDEX","WELLNAME","RATE_TYPE","DATE","COMMENT","THP","THT","WCT","RATE","GAUGE_DEPTH","GAUGE_PRES","RESERVOIR_PRESSURE","GOR","GOR_FREE","FREQUENCY","WEAR_FACTOR","INTAKE_PRESSURE","DISCHARGE_PRESSURE"
"COLUMN_LABELS","Индекс","Имя_скважины","Фаза_расхода","Дата_замера","Комментарий","Устьевое_давление","Устьевая_температура","Обводненность","Расход","Глубина_замера_MD","Давление_на_глубине_замера","Пластовое_давление","Газовый_фактор","Свободный_газовый_фактор","Частота_ЭЦН","Коэффициент_деградации_НРХ","Давление_приема_ЭЦН","Перепад_давления_ЭЦН"
"0_1-Tunj","0","1-Tunj","Liquid Rate","23/03/2022","Test","114.765","10","10","85","2850","213.808","304.026","300","0","46","0","213.808","2.9745"
"1_1-Tunj","1","1-Tunj","Liquid Rate","15/04/2022","Start ESP","28.0784","18","6.8","54","2850","180.467","300.103","341","0","45","0.71875","180.467","2.9745"
"2_1-Tunj","2","1-Tunj","Liquid Rate","02/05/2022","","33.3738","20.3","7.1","80","2850","132.417","300.103","150","0","42","0","132.417","2.9745"
"3_1-Tunj","3","1-Tunj","Liquid Rate","09/05/2022","","34.7467","28.9","14.1","48","2850","105.94","300.103","249","0","42","0.0429688","105.94","2.9745"
"4_1-Tunj","4","1-Tunj","Liquid Rate","12/05/2022","","32.3932","27.9","17.4","61","2850","99.0755","300.103","133","0","50","0.3","99.0755","2.9745"
"5_1-Tunj","5","1-Tunj","Liquid Rate","19/05/2022","","27.9804","29.1","10.6","41","2850","100.056","300.103","160","0","50","0.3","100.056","2.9745"
"6_1-Tunj","6","1-Tunj","Liquid Rate","22/05/2022","","29.7455","36.5","11.9","46","2850","88.2887","300.103","164","0","50","0.3","88.2887","2.9745"
"7_1-Tunj","7","1-Tunj","Liquid Rate","25/05/2022","","28.8629","29.3","10.3","55","2850","96.1336","300.103","142","0","50","0.3","96.1336","2.9745"
"8_1-Tunj","8","1-Tunj","Liquid Rate","28/05/2022","","26.1172","29","11.3","42","2850","90.2499","300.103","140","0","50","0.3","90.2499","2.9745"
"9_1-Tunj","9","1-Tunj","Liquid Rate","29/05/2022","","25.1366","32","11.1","37","2850","87.308","300.103","167","0","50","0.3","87.308","2.9745"
"10_1-Tunj","10","1-Tunj","Liquid Rate","30/05/2022","","24.5482","32","12.1","34","2850","89.2693","300.103","164","0","50","0.3","89.2693","2.9745"
"11_1-Tunj","11","1-Tunj","Liquid Rate","31/05/2022","","24.3521","30.8","12","32","2850","87.308","300.103","169.78","0","50","0.3","87.308","2.9745"
"12_1-Tunj","12","1-Tunj","Liquid Rate","01/06/2022","opressovka","25.5288","21","11.2","40","2850","58.5758","300.103","273.5","0","51","0.3","58.5758","2.9745"
"13_1-Tunj","13","1-Tunj","Liquid Rate","02/06/2022","fontan zatrub","29.2552","23","13.6","56","2850","67.6956","300.103","144","0","51","0.3","67.6956","2.9745"
"14_1-Tunj","14","1-Tunj","Liquid Rate","03/06/2022","","31.9029","11","5.8","46","2850","86.3274","300.103","116","0","51","0.3","86.3274","2.9745"
"15_1-Tunj","15","1-Tunj","Liquid Rate","04/06/2022","","30.3339","18","8.2","36","2850","82.8952","300.103","142","0","51","0.3","82.8952","2.9745"
"16_1-Tunj","16","1-Tunj","Liquid Rate","05/06/2022","do gidratov","29.5494","25.4","12.4","46","2850","82.4049","300.103","108","0","51","0.3","82.4049","2.9745"
"17_1-Tunj","17","1-Tunj","Liquid Rate","29/07/2022","","36.5853","10","0.1","88.75","2850","122.61","300.103","128.068","0","46","0","122.61","2.9745"
"18_1-Tunj","18","1-Tunj","Liquid Rate","29/08/2022","","32.7854","10","0.1","83","2850","70.1471","300.103","122.207","0","50.5","0.1","70.1471","2.9745"
"19_1-Tunj","19","1-Tunj","Liquid Rate","08/03/2023","","36.5118","10","4.4","200","2851.75","283.923","300.103","33.6888","0","44","0.7","283.923","2.9745"
"20_1-Tunj","20","1-Tunj","Liquid Rate","30/03/2023","","32.4912","10","4.5","208","2851.75","281.667","211.847","32.427","0","44","0.7","281.667","2.9745"
"21_1-Tunj","21","1-Tunj","Liquid Rate","24/03/2023","","37.0021","10","4.4","200","2851.75","282.06","295.2","33.6888","0","44","0.7","282.06","2.9745"
"22_1-Tunj","22","1-Tunj","Liquid Rate","30/03/2023","","32.4912","10","4.5","208","2851.75","281.667","295.2","32.427","0","44","0.7","281.667","2.9745"
"23_1-Tunj","23","1-Tunj","Liquid Rate","30/03/2023","","32.4912","10","4.5","208","2851.75","281.667","295.2","50.3423","0","44","0.7","281.667","2.9745"
"24_1-Tunj","24","1-Tunj","Liquid Rate","28/03/2023","","28.6668","10","4.5","215","2851.75","281.765","295.2","48.7033","0","44","0.7","281.765","2.9745"
"25_1-Tunj","25","1-Tunj","Liquid Rate","28/03/2023","","28.6668","10","4.5","215","2851.75","281.765","295.2","48.7033","0","44","0.7","281.765","2.9745"
"26_1-Tunj","26","1-Tunj","Liquid Rate","31/07/2023","","25.5288","10","0.6","161.2","2851.75","265.781","314.812","256","0","60","0.99","265.781","2.9745"
"27_1-Tunj","27","1-Tunj","Liquid Rate","09/09/2023","","29.2552","10","0.1","162","2851.75","258.329","314.812","256","0","60","0.99","258.329","2.9745"
"28_1-Tunj","28","1-Tunj","Liquid Rate","10/09/2023","","28.3726","10","0.1","164","2851.75","257.936","314.812","164","0","60","0.99","257.936","2.9745"
"29_1-Tunj","29","1-Tunj","Liquid Rate","09/10/2023","","36.5118","10","0.6","330.7","2851.75","248.13","314.812","236.091","0","60","0.7","248.13","2.9745"
"30_1-Tunj","30","1-Tunj","Liquid Rate","09/10/2023","","36.5118","10","0.6","330.7","2851.75","248.13","314.812","236.091","0","60","0.99","248.13","2.9745"
"31_1-Tunj","31","1-Tunj","Liquid Rate","09/10/2023","","36.5118","10","0.6","330.7","2851.75","248.13","314.812","236.091","0","60","0.9","248.13","2.9745"
"32_1-Tunj","32","1-Tunj","Liquid Rate","09/10/2023","","36.5118","10","0.6","330.7","2851.75","248.13","314.812","236.091","0","60","0.99","248.13","2.9745"
"33_1-Tunj","33","1-Tunj","Liquid Rate","09/10/2023","","36.5118","10","0.6","330.7","2851.75","248.13","314.812","236.091","0","60","0.99","248.13","2.9745"
"34_1-Tunj","34","1-Tunj","Liquid Rate","30/10/2023","","33.0796","10","5.1","284.7","2851.75","237.637","300.103","266.622","0","60","0.9","237.637","2.9745"
"35_1-Tunj","35","1-Tunj","Liquid Rate","31/10/2023","","33.668","10","5.1","290.1","2851.75","237.343","300.103","262.544","0","60","0.9","237.343","2.9745"
"0_1001_AR","0","1001_AR","Liquid Rate","07/11/2021","","26.0191","10","89.6","143","3145","194.059","218.711","56.0113","0","52","0","194.059","2.9745"
"1_1001_AR","1","1001_AR","Liquid Rate","31/12/2021","","26.0191","10","90.3","213","3145","194.196","246.169","302.599","0","46","0","194.196","2.9745"
"0_1003_AR","0","1003_AR","Liquid Rate","07/11/2021","","26.0191","10","89.6","143","3145","194.059","218.711","56.0113","0","52","0","194.059","2.9745"
"1_1003_AR","1","1003_AR","Liquid Rate","31/12/2021","","26.0191","10","90.3","213","3145","194.196","246.169","302.599","0","46","0","194.196","2.9745"
"2_1003_AR","2","1003_AR","Liquid Rate","05/04/2022","","46.1219","10","86","184","3142","190.273","223.871","821.234","0","50","0","190.273","2.9745"
"3_1003_AR","3","1003_AR","Liquid Rate","07/05/2022","","48.0831","10","64.2","176.5","3145","186.351","223.871","338.954","0","50","0","186.351","2.9745"
"4_1003_AR","4","1003_AR","Liquid Rate","31/05/2022","","45.1413","10","69.1","179","3145","186.351","241.266","390.808","0","50","0","186.351","2.9745"
"0_1004_AR","0","1004_AR","Liquid Rate","27/12/2021","","21.116","10","72.5","100","3135","145.949","221.653","1136.33","0","39.5","0","145.949","2.9745"
"1_1004_AR","1","1004_AR","Liquid Rate","30/12/2021","","21.3612","10","72.5","94","3135","146.145","183.403","989.968","0","39.5","0","146.145","2.9745"
"2_1004_AR","2","1004_AR","Liquid Rate","27/01/2022","","22.0966","10","83.3","104","3135","143.4","183.403","1244.93","0","41","0","143.4","2.9745"
"3_1004_AR","3","1004_AR","Liquid Rate","26/02/2022","","21.6063","10","89.6","102","3135","143.4","207.529","1718.51","0","41","0","143.4","2.9745"
"4_1004_AR","4","1004_AR","Liquid Rate","02/04/2022","","20.6257","10","90.4","99","3136","143.4","207.529","1634.05","0","41","0","143.4","2.9745"
"5_1004_AR","5","1004_AR","Liquid Rate","06/05/2022","","19.6451","10","90.1","86","3135","143.4","207.529","1696.44","0","41","0","143.4","2.9745"
"6_1004_AR","6","1004_AR","Liquid Rate","31/05/2022","","20.6257","10","92.2","84","3135","143.4","208.905","1854.7","0","41","0","143.4","2.9745"
"7_1004_AR","7","1004_AR","Liquid Rate","31/05/2022","","20.6257","10","92.2","84","3135","143.4","221.653","1854.7","0","41","0","143.4","2.9745"
"8_1004_AR","8","1004_AR","Liquid Rate","31/07/2022","","19.6451","10","90.05","93","3135","143.4","221.653","1177.21","0","41","-0.1","143.4","2.9745"
"9_1004_AR","9","1004_AR","Liquid Rate","25/09/2022","","19.6451","10","94.15","90.25","3135","143.4","221.653","1823.43","0","41","-0.05","143.4","2.9745"
"0_1009_AR","0","1009_AR","Liquid Rate","01/01/2020","TM measuremets","42.1994","10","66.5","139","3159.5","241.266","255.025","1050.68","0","35","0.27","241.266","259.483"
"1_1009_AR","1","1009_AR","Liquid Rate","10/01/2020","TM measuremets","44.1606","10","66.8","116.33","3159.5","240.285","255.025","853.979","0","35","0.27","240.285","2.9745"
"2_1009_AR","2","1009_AR","Liquid Rate","16/01/2020","TM measuremets","44.1606","10","66.4","117.33","3159.5","239.305","255.025","802.174","0","35","0.27","239.305","2.9745"
"3_1009_AR","3","1009_AR","Liquid Rate","24/01/2020","TM measuremets","45.1413","10","66.6","119.67","3159.5","239.305","255.025","774.685","0","35","0.27","239.305","274.406"
"4_1009_AR","4","1009_AR","Liquid Rate","01/02/2020","TM measuremets","39.2575","10","66.6","118.5","3159.5","238.755","255.025","839.435","0","35","0.27","238.755","2.9745"
"5_1009_AR","5","1009_AR","Liquid Rate","10/02/2020","TM measuremets","42.1994","10","67.6","116","3159.5","238.804","255.025","935.159","0","35","0.27","238.804","2.9745"
"6_1009_AR","6","1009_AR","Liquid Rate","16/02/2020","TM measuremets","46.1219","10","65.5","103.5","3159.5","237.343","255.025","664.062","0","35","0.27","237.343","2.9745"
"7_1009_AR","7","1009_AR","Liquid Rate","22/02/2020","TM measuremets","44.1606","10","65.6","103","3159.5","237.343","255.025","643.401","0","35","0.27","237.343","2.9745"
"8_1009_AR","8","1009_AR","Liquid Rate","01/03/2020","TM measuremets","48.0831","10","62.1","111","3159.5","237.128","255.025","505.36","0","35","0.27","237.128","278.514"
"9_1009_AR","9","1009_AR","Liquid Rate","10/03/2020","TM measuremets","45.1413","10","64.4","103.5","3159.5","236.461","255.025","628.074","0","35","0.27","236.461","2.9745"
"10_1009_AR","10","1009_AR","Liquid Rate","16/03/2020","TM measuremets","45.1413","10","64.8","109","3159.5","236.363","255.025","571.961","0","35","0.27","236.363","2.9745"
"11_1009_AR","11","1009_AR","Liquid Rate","01/04/2020","TM measuremets","31.4126","10","64.1","109.75","3159.5","236.01","255.025","606.367","0","35","0.27","236.01","2.9745"
"12_1009_AR","12","1009_AR","Liquid Rate","10/04/2020","TM measuremets","29.4513","10","63.1","112.33","3159.5","235.304","255.025","566.975","0","35","0.27","235.304","2.9745"
"13_1009_AR","13","1009_AR","Liquid Rate","16/04/2020","TM measuremets","31.4126","10","64.3","101.67","3159.5","235.166","255.025","693.241","0","35","0.27","235.166","2.9745"
"14_1009_AR","14","1009_AR","Liquid Rate","01/05/2020","TM measuremets","27.4901","10","66.7","99","3159.5","234.068","255.025","774.441","0","35","0.27","234.068","2.9745"
"15_1009_AR","15","1009_AR","Liquid Rate","10/05/2020","TM measuremets","31.4126","10","67.9","95.5","3159.5","233.705","255.025","723.785","0","35","0.27","233.705","2.9745"
"16_1009_AR","16","1009_AR","Liquid Rate","17/05/2020","","31.4126","10","68.7","109","3159.5","233.274","255.025","728.259","0","35","0.27","233.274","2.9745"
"17_1009_AR","17","1009_AR","Liquid Rate","24/05/2020","","30.4319","10","67.5","113","3159.5","233.146","255.025","255.132","0","35","0.27","233.146","2.9745"
"18_1009_AR","18","1009_AR","Liquid Rate","01/06/2020","TM measuremets","29.4513","10","68.7","107","3159.5","232.97","255.025","714.132","0","35","0.27","232.97","2.9745"
"19_1009_AR","19","1009_AR","Liquid Rate","10/06/2020","","29.4513","10","66.8","102","3159.5","232.46","255.025","795.299","0","35","0.27","232.46","2.9745"
"20_1009_AR","20","1009_AR","Liquid Rate","16/06/2020","TM measuremets","29.4513","10","67","97.5","3159.5","232.254","255.025","824.056","0","35","0.27","232.254","2.9745"
"21_1009_AR","21","1009_AR","Liquid Rate","24/06/2020","TM measuremets","29.4513","10","68.3","109.17","3159.5","231.989","255.025","688.88","0","35","0.27","231.989","2.9745"
"22_1009_AR","22","1009_AR","Liquid Rate","01/07/2020","TM measuremets","32.3932","10","68.5","101.33","3159.5","231.391","255.025","773.177","0","35","0.27","231.391","2.9745"
"23_1009_AR","23","1009_AR","Liquid Rate","10/07/2020","TM measuremets","28.4707","10","68.5","112","3159.5","231.038","255.025","660.629","0","35","0.27","231.038","2.9745"
"24_1009_AR","24","1009_AR","Liquid Rate","16/07/2020","TM measuremets","31.4126","10","68.6","106.75","3159.5","230.597","255.025","706.753","0","35","0.27","230.597","2.9745"
"25_1009_AR","25","1009_AR","Liquid Rate","25/07/2020","TM measuremets","28.4707","10","68.6","101","3159.5","230.146","255.025","816.422","0","35","0.27","230.146","2.9745"
"26_1009_AR","26","1009_AR","Liquid Rate","01/08/2020","TM measuremets","34.3544","10","73.9","103.67","3159.5","229.891","255.025","873.313","0","35","0.27","229.891","2.9745"
"27_1009_AR","27","1009_AR","Liquid Rate","10/08/2020","TM measuremets","28.4707","10","72.4","94","3159.5","229.204","255.025","957.64","0","35","0.27","229.204","2.9745"
"28_1009_AR","28","1009_AR","Liquid Rate","01/09/2020","TM measuremets","29.4513","10","67.2","137.5","3159.5","229.498","255.025","399.401","0","35","0.27","229.498","255.166"
"29_1009_AR","29","1009_AR","Liquid Rate","16/09/2020","TM measuremets","28.4707","10","78","106","3159.5","227.537","255.025","966.981","0","35","0.27","227.537","2.9745"
"30_1009_AR","30","1009_AR","Liquid Rate","01/10/2020","TM measuremets","26.5094","10","77.9","107.33","3159.5","226.556","255.025","993.511","0","35","0.27","226.556","2.9745"
"31_1009_AR","31","1009_AR","Liquid Rate","08/10/2020","TM measuremets","33.3738","10","77.9","103.5","3159.5","226.556","255.025","1014.1","0","35","0.27","226.556","2.9745"
"32_1009_AR","32","1009_AR","Liquid Rate","16/10/2020","TM measuremets","25.5288","10","77.9","103.67","3159.5","225.978","255.025","1041.24","0","35","0.27","225.978","2.9745"
"33_1009_AR","33","1009_AR","Liquid Rate","24/10/2020","TM measuremets","32.3932","10","79.3","103.5","3159.5","225.576","255.025","1081.8","0","35","0.27","225.576","276.97"
"34_1009_AR","34","1009_AR","Liquid Rate","","","34.3544","10","70.8","106","3159.5","219.692","255.093","828.875","0","35","0.27","219.692","2.9745"
"35_1009_AR","35","1009_AR","Liquid Rate","06/04/2021","","35.335","10","79.4","105.67","3153","210.866","255.093","901.919","0","35","0.27","210.866","2.9745"
"36_1009_AR","36","1009_AR","Liquid Rate","12/05/2021","","35.335","10","48.9","104","3153","204.983","240.317","349.328","0","35","0.27","204.983","2.9745"
"37_1009_AR","37","1009_AR","Liquid Rate","09/06/2021","","30.4319","10","48.9","102","3153","204.983","240.317","347.248","0","35","0.5","204.983","2.9745"
"38_1009_AR","38","1009_AR","Liquid Rate","23/07/2021","","33.3738","10","50.8","108","3153","191.254","240.317","324.162","0","35","0.5","191.254","2.9745"
"39_1009_AR","39","1009_AR","Liquid Rate","06/08/2021","","54.212","10","60","121","3153","204.983","230.479","944.731","0","35","0.25","206.944","2.9745"
"40_1009_AR","40","1009_AR","Liquid Rate","21/08/2021","","62.3022","10","49.3","159","3153","206.944","230.479","460.206","0","35","0","206.944","2.9745"
"41_1009_AR","41","1009_AR","Liquid Rate","31/08/2021","","67.4504","10","54.7","160.5","3153","192.235","230.479","645.211","0","35","0","192.235","2.9745"
"42_1009_AR","42","1009_AR","Liquid Rate","08/09/2021","","69.6568","10","47.4","174","3153","191.254","230.479","557.766","0","35","0","191.254","2.9745"
"43_1009_AR","43","1009_AR","Liquid Rate","18/10/2021","","71.6181","10","70.8","182","3153","190.273","244.238","933.821","0","35","0","190.273","2.9745"
"44_1009_AR","44","1009_AR","Liquid Rate","18/10/2021","","71.6181","10","70.8","182","3153","190.273","244.238","933.821","0","35","0","190.273","2.9745"
"45_1009_AR","45","1009_AR","Liquid Rate","06/01/2022","new pump","39.5027","10","79.45","171","3149","195.177","147.816","557.405","0","48.4","0","195.177","2.9745"
"46_1009_AR","46","1009_AR","Liquid Rate","30/01/2022","","30.4319","10","81.95","183.5","3149","194.686","147.816","2076.08","0","47.5","0","194.686","2.9745"
"47_1009_AR","47","1009_AR","Liquid Rate","30/01/2022","","30.4319","10","81.95","183.5","3149","194.686","247.181","2076.08","0","47.5","0","194.686","2.9745"
"48_1009_AR","48","1009_AR","Liquid Rate","28/02/2022","","31.0203","10","81.85","200.5","3149","190.273","247.181","2210.69","0","51","0","190.273","2.9745"
"49_1009_AR","49","1009_AR","Liquid Rate","03/04/2022","","30.9222","10","81.9","188","3149","187.332","247.181","1891.74","0","51","0","187.332","2.9745"
"50_1009_AR","50","1009_AR","Liquid Rate","09/05/2022","","27.7352","10","79.3","174","3149","183.409","247.181","1684.85","0","51","0.3","183.409","2.9745"
"51_1009_AR","51","1009_AR","Liquid Rate","29/05/2022","","28.4707","10","72.2","178.5","3149","181.448","241.266","910.693","0","51","0.3","181.448","2.9745"
"52_1009_AR","52","1009_AR","Liquid Rate","29/05/2022","","28.4707","10","72.2","178.5","3149","181.448","240.285","910.693","0","51","0.3","181.448","2.9745"
"53_1009_AR","53","1009_AR","Liquid Rate","28/07/2022","","33.619","10","83.3","209","3149","174.583","240.285","2037.7","0","56","0.3","174.583","2.9745"
"54_1009_AR","54","1009_AR","Liquid Rate","30/08/2022","","32.3932","10","77.3","218","3149","171.642","240.285","1134.34","0","55","0.1","171.642","2.9745"
"55_1009_AR","55","1009_AR","Liquid Rate","29/11/2022","","59.1969","10","72.25","230","3149","167.719","240.285","175.448","0","48","0","167.719","2.9745"
"56_1009_AR","56","1009_AR","Liquid Rate","02/01/2023","","18.6645","10","77.3","219.3","3149","165.758","228.549","1127.15","0","52","0.6","165.758","2.9745"
"57_1009_AR","57","1009_AR","Liquid Rate","30/01/2023","","19.449","10","63.1","223","3149","161.835","216.064","768.274","0","52","0.6","161.835","2.9745"
"58_1009_AR","58","1009_AR","Liquid Rate","05/03/2023","","17.6838","10","78.7","249","3149","158.893","216.064","1084.43","0","52","0.3","158.893","2.9745"
"59_1009_AR","59","1009_AR","Liquid Rate","31/03/2023","","20.4296","10","76.4","246","3149","157.913","216.064","1055.08","0","52","0.3","157.913","2.9745"
"60_1009_AR","60","1009_AR","Liquid Rate","28/04/2023","","20.6257","10","73.6","242","3149","154.971","211.259","901.233","0","52","0.35","154.971","2.9745"
"61_1009_AR","61","1009_AR","Liquid Rate","28/04/2023","","20.6257","10","73.6","242","3149","154.971","211.259","901.233","0","52","0.35","154.971","2.9745"
"62_1009_AR","62","1009_AR","Liquid Rate","30/05/2023","","21.116","10","80.9","258.5","3149","152.029","211.259","1146.07","0","52","0.2","152.029","2.9745"
"63_1009_AR","63","1009_AR","Liquid Rate","28/06/2023","","20.1354","10","84.3","250","3149","149.087","211.259","1439.16","0","52.4","0.2","149.087","2.9745"
"64_1009_AR","64","1009_AR","Liquid Rate","27/07/2023","","18.6645","10","85","253","3149","148.107","205.179","1519.17","0","52.4","0.2","148.107","2.9745"
"0_1009_AR_FPZ","0","1009_AR_FPZ","Liquid Rate","01/01/2020","TM measuremets","42.1994","10","66.5","139","3159.5","241.266","255.025","1050.68","0","35","0.27","241.266","259.483"
"1_1009_AR_FPZ","1","1009_AR_FPZ","Liquid Rate","10/01/2020","TM measuremets","44.1606","10","66.8","116.33","3159.5","240.285","255.025","853.979","0","35","0.27","240.285","2.9745"
"2_1009_AR_FPZ","2","1009_AR_FPZ","Liquid Rate","16/01/2020","TM measuremets","44.1606","10","66.4","117.33","3159.5","239.305","255.025","802.174","0","35","0.27","239.305","2.9745"
"3_1009_AR_FPZ","3","1009_AR_FPZ","Liquid Rate","24/01/2020","TM measuremets","45.1413","10","66.6","119.67","3159.5","239.305","255.025","774.685","0","35","0.27","239.305","274.406"
"4_1009_AR_FPZ","4","1009_AR_FPZ","Liquid Rate","01/02/2020","TM measuremets","39.2575","10","66.6","118.5","3159.5","238.755","255.025","839.435","0","35","0.27","238.755","2.9745"
"5_1009_AR_FPZ","5","1009_AR_FPZ","Liquid Rate","10/02/2020","TM measuremets","42.1994","10","67.6","116","3159.5","238.804","255.025","935.159","0","35","0.27","238.804","2.9745"
"6_1009_AR_FPZ","6","1009_AR_FPZ","Liquid Rate","16/02/2020","TM measuremets","46.1219","10","65.5","103.5","3159.5","237.343","255.025","664.062","0","35","0.27","237.343","2.9745"
"7_1009_AR_FPZ","7","1009_AR_FPZ","Liquid Rate","22/02/2020","TM measuremets","44.1606","10","65.6","103","3159.5","237.343","255.025","643.401","0","35","0.27","237.343","2.9745"
"8_1009_AR_FPZ","8","1009_AR_FPZ","Liquid Rate","01/03/2020","TM measuremets","48.0831","10","62.1","111","3159.5","237.128","255.025","505.36","0","35","0.27","237.128","278.514"
"9_1009_AR_FPZ","9","1009_AR_FPZ","Liquid Rate","10/03/2020","TM measuremets","45.1413","10","64.4","103.5","3159.5","236.461","255.025","628.074","0","35","0.27","236.461","2.9745"
"10_1009_AR_FPZ","10","1009_AR_FPZ","Liquid Rate","16/03/2020","TM measuremets","45.1413","10","64.8","109","3159.5","236.363","255.025","571.961","0","35","0.27","236.363","2.9745"
"11_1009_AR_FPZ","11","1009_AR_FPZ","Liquid Rate","01/04/2020","TM measuremets","31.4126","10","64.1","109.75","3159.5","236.01","255.025","606.367","0","35","0.27","236.01","2.9745"
"12_1009_AR_FPZ","12","1009_AR_FPZ","Liquid Rate","10/04/2020","TM measuremets","29.4513","10","63.1","112.33","3159.5","235.304","255.025","566.975","0","35","0.27","235.304","2.9745"
"13_1009_AR_FPZ","13","1009_AR_FPZ","Liquid Rate","16/04/2020","TM measuremets","31.4126","10","64.3","101.67","3159.5","235.166","255.025","693.241","0","35","0.27","235.166","2.9745"
"14_1009_AR_FPZ","14","1009_AR_FPZ","Liquid Rate","01/05/2020","TM measuremets","27.4901","10","66.7","99","3159.5","234.068","255.025","774.441","0","35","0.27","234.068","2.9745"
"15_1009_AR_FPZ","15","1009_AR_FPZ","Liquid Rate","10/05/2020","TM measuremets","31.4126","10","67.9","95.5","3159.5","233.705","255.025","723.785","0","35","0.27","233.705","2.9745"
"16_1009_AR_FPZ","16","1009_AR_FPZ","Liquid Rate","17/05/2020","","31.4126","10","68.7","109","3159.5","233.274","255.025","728.259","0","35","0.27","233.274","2.9745"
"17_1009_AR_FPZ","17","1009_AR_FPZ","Liquid Rate","24/05/2020","","30.4319","10","67.5","113","3159.5","233.146","255.025","255.132","0","35","0.27","233.146","2.9745"
"18_1009_AR_FPZ","18","1009_AR_FPZ","Liquid Rate","01/06/2020","TM measuremets","29.4513","10","68.7","107","3159.5","232.97","255.025","714.132","0","35","0.27","232.97","2.9745"
"19_1009_AR_FPZ","19","1009_AR_FPZ","Liquid Rate","10/06/2020","","29.4513","10","66.8","102","3159.5","232.46","255.025","795.299","0","35","0.27","232.46","2.9745"
"20_1009_AR_FPZ","20","1009_AR_FPZ","Liquid Rate","16/06/2020","TM measuremets","29.4513","10","67","97.5","3159.5","232.254","255.025","824.056","0","35","0.27","232.254","2.9745"
"21_1009_AR_FPZ","21","1009_AR_FPZ","Liquid Rate","24/06/2020","TM measuremets","29.4513","10","68.3","109.17","3159.5","231.989","255.025","688.88","0","35","0.27","231.989","2.9745"
"22_1009_AR_FPZ","22","1009_AR_FPZ","Liquid Rate","01/07/2020","TM measuremets","32.3932","10","68.5","101.33","3159.5","231.391","255.025","773.177","0","35","0.27","231.391","2.9745"
"23_1009_AR_FPZ","23","1009_AR_FPZ","Liquid Rate","10/07/2020","TM measuremets","28.4707","10","68.5","112","3159.5","231.038","255.025","660.629","0","35","0.27","231.038","2.9745"
"24_1009_AR_FPZ","24","1009_AR_FPZ","Liquid Rate","16/07/2020","TM measuremets","31.4126","10","68.6","106.75","3159.5","230.597","255.025","706.753","0","35","0.27","230.597","2.9745"
"25_1009_AR_FPZ","25","1009_AR_FPZ","Liquid Rate","25/07/2020","TM measuremets","28.4707","10","68.6","101","3159.5","230.146","255.025","816.422","0","35","0.27","230.146","2.9745"
"26_1009_AR_FPZ","26","1009_AR_FPZ","Liquid Rate","01/08/2020","TM measuremets","34.3544","10","73.9","103.67","3159.5","229.891","255.025","873.313","0","35","0.27","229.891","2.9745"
"27_1009_AR_FPZ","27","1009_AR_FPZ","Liquid Rate","10/08/2020","TM measuremets","28.4707","10","72.4","94","3159.5","229.204","255.025","957.64","0","35","0.27","229.204","2.9745"
"28_1009_AR_FPZ","28","1009_AR_FPZ","Liquid Rate","01/09/2020","TM measuremets","29.4513","10","67.2","137.5","3159.5","229.498","255.025","399.401","0","35","0.27","229.498","255.166"
"29_1009_AR_FPZ","29","1009_AR_FPZ","Liquid Rate","16/09/2020","TM measuremets","28.4707","10","78","106","3159.5","227.537","255.025","966.981","0","35","0.27","227.537","2.9745"
"30_1009_AR_FPZ","30","1009_AR_FPZ","Liquid Rate","01/10/2020","TM measuremets","26.5094","10","77.9","107.33","3159.5","226.556","255.025","993.511","0","35","0.27","226.556","2.9745"
"31_1009_AR_FPZ","31","1009_AR_FPZ","Liquid Rate","08/10/2020","TM measuremets","33.3738","10","77.9","103.5","3159.5","226.556","255.025","1014.1","0","35","0.27","226.556","2.9745"
"32_1009_AR_FPZ","32","1009_AR_FPZ","Liquid Rate","16/10/2020","TM measuremets","25.5288","10","77.9","103.67","3159.5","225.978","255.025","1041.24","0","35","0.27","225.978","2.9745"
"33_1009_AR_FPZ","33","1009_AR_FPZ","Liquid Rate","24/10/2020","TM measuremets","32.3932","10","79.3","103.5","3159.5","225.576","255.025","1081.8","0","35","0.27","225.576","276.97"
"34_1009_AR_FPZ","34","1009_AR_FPZ","Liquid Rate","","","34.3544","10","70.8","106","3159.5","219.692","255.093","828.875","0","35","0.27","219.692","2.9745"
"35_1009_AR_FPZ","35","1009_AR_FPZ","Liquid Rate","06/04/2021","","35.335","10","79.4","105.67","3153","210.866","255.093","901.919","0","35","0.27","210.866","2.9745"
"36_1009_AR_FPZ","36","1009_AR_FPZ","Liquid Rate","12/05/2021","","35.335","10","48.9","104","3153","204.983","240.317","349.328","0","35","0.27","204.983","2.9745"
"37_1009_AR_FPZ","37","1009_AR_FPZ","Liquid Rate","09/06/2021","","30.4319","10","48.9","102","3153","204.983","240.317","347.248","0","35","0.5","204.983","2.9745"
"38_1009_AR_FPZ","38","1009_AR_FPZ","Liquid Rate","23/07/2021","","33.3738","10","50.8","108","3153","191.254","240.317","324.162","0","35","0.5","191.254","2.9745"
"39_1009_AR_FPZ","39","1009_AR_FPZ","Liquid Rate","06/08/2021","","54.212","10","60","121","3153","204.983","230.479","944.731","0","35","0.25","206.944","2.9745"
