"","WELLNAME","FLUID","FLUID_METHOD","SOLUTION_GOR","OIL_GRAVITY","GAS_GRAVITY","WATER_SALINITY","H2S_MOLE_PERCENT","CO2_MOLE_PERCENT","N2_MOLE_PERCENT","Pb_Rs_Bo_CORRELATION","OIL_VISCOSITY_CORRELATION","GAS_VISCOSITY_CORRELATION","SEPARATOR_PRES","SEPARATOR_TEMP","CGR_(FOR_GAS_AND_RETR_COND)","WGR_(FOR_GAS_AND_RETR_COND)","SEPARATOR_GOR","TANK_GOR","SEPARATOR_GAS_GRAV","TANK_GAS_GRAV","WATER_VISC_OPTION","WATER_VAPOUR_OPTION","RESERVOIR_TEMPERATURE","RESERVOIR_PRESSURE","DEW_POINT_AT_RES_TEMP","PVT_IS_MATCHED","NUM_OF_TABLES_FOR_PVT_MATCHING","MIN_TEMPERATURE_OF_PVT_MATCHING_TABLES","MAX_TEMPERATURE_OF_PVT_MATCHING_TABLES","MIN_PRESSURE_OF_PVT_MATCHING_TABLES","MAX_PRESSURE_OF_PVT_MATCHING_TABLES","USE_PVT_TABLES_(INSTEAD_OF_CORR)_FLAG","NUM_OF_TABLES_FOR_PVT_USED","MIN_TEMPERATURE_OF_PVT_USED_TABLES","MAX_TEMPERATURE_OF_PVT_USED_TABLES","MIN_PRESSURE_OF_PVT_USED_TABLES","MAX_PRESSURE_OF_PVT_USED_TABLES"
"COLUMN_LABELS","Имя_скважины","Флюид","Тип_флюида","Содержание_растворенного_газа","Плотность_нефти","Удельный_вес_газа","Соленость_воды","Мольная_доля_H2S","Мольная_доля_CO2","Мольная_доля_N2","Корреляция_давления_насыщения/газосодержания/объемного коэффициента","Корреляция_вязкости_нефти","Корреляция_вязкости_газа","Давление_сепаратора","Температура_сепаратора","Конденсатогазовый_фактор","Водогазовый_фактор","Газовый_фактор_на_сепараторе","Газовый_фактор_резервуара","Удельный_вес_газа_в_сепараторе","Удельный_вес_газа_в_пласте","Метод_определения_вязкости_воды","Активация_опции_учета_перехода_воды_в_газ","Пластовая_температура","Пластовое_давление","Давление_насыщения_при_T_пласта","Флаг_адаптации_PVT","Количество_таблиц_для_адаптации_PVT","Минимальная_температура_таблиц_адаптации_PVT","Максимальная_температура_таблиц_адаптации_PVT","Минимальное_давление_таблиц_адаптации_PVT","Максимальное_давление_таблиц_адаптации_PVT","Флаг_использования_интерполяции_PVT_таблиц_(вместо_адаптации)","Количество_таблиц_для_интерполяции_PVT","Минимальная_температура_таблиц_интерполяции_PVT","Максимальная_температура_таблиц_интерполяции_PVT","Минимальное_давление_таблиц_интерполяции_PVT","Максимальное_давление_таблиц_интерполяции_PVT"
"201_URM","201_URM","Oil and Water","Black Oil","285.943002344","833.945999661","0.993130028","1.019999981","0","1.230000019","0.5","Glaso","Bealetal","Leeetal","1.013253489","-17.777776","      0.00000000e+00","0","17720","0","0","0","Use Default Correlation","No Calculations","103.999996382","278.529427849","1.013253489","Yes","1","103.999996382","103.999996382","326.999653724","326.999653724","No","0","","","",""
"202-Kulg","202-Kulg","Oil and Water","Black Oil","173.300010132","847.000064781","0.66267997","101597","0","3.099999905","1.679999948","Lasater","Petroskyetal","Leeetal","","","      0.00000000e+00","0","17720","","","","Use Default Correlation","No Calculations","103.999996382","202.040868876","","Yes","1","104.9999895","104.9999895","252.013431329","252.013431329","No","0","","","",""
"2022_AR","2022_AR","Oil and Water","Black Oil","255.13200625","858.935000863","0.661599994","52555.19921875","0","0","0","Lasater","Petroskyetal","Leeetal","1.013253489","-17.777776","      0.00000000e+00","0","17720","0","0","0","Use Default Correlation","No Calculations","103.999996382","195.176512099","1.013253489","Yes","1","103.999996382","103.999996382","326.994738516","326.994738516","No","0","","","",""
"2023_AR","2023_AR","Oil and Water","Black Oil","255.13200625","858.935000863","0.661599994","52555.19921875","0","0","0","Lasater","Petroskyetal","Leeetal","1.013253489","-17.777776","      0.00000000e+00","0","17720","0","0","0","Use Default Correlation","No Calculations","103.999996382","186.350903314","1.013253489","Yes","1","103.999996382","103.999996382","326.994738516","326.994738516","No","0","","","",""
"2027_AR","2027_AR","Oil and Water","Black Oil","255.13300127","858.935000863","0.661599994","52555.19921875","0","0","0","Lasater","Beggsetal","Leeetal","1.013253489","-17.777776","      0.00000000e+00","0","17720","0","0","0","Use Default Correlation","No Calculations","103.999996382","246.168879136","1.013253489","Yes","1","103.999987905","103.999987905","326.994603853","326.994603853","No","0","","","",""
"202_URM","202_URM","Oil and Water","Black Oil","285.943002344","833.945999661","0.993130028","1.019999981","0","1.230000019","0.5","Glaso","Beggsetal","Leeetal","1.013253489","-17.777776","      0.00000000e+00","0","17720","0","0","0","Use Default Correlation","No Calculations","103.999996382","150.067884252","1.013253489","Yes","1","103.999996382","103.999996382","326.999653724","326.999653724","No","0","","","",""
"202_UTBG","202_UTBG","Oil and Water","Black Oil","129.999939868","869.000218507","0.798330009","56604.6015625","0","2.920000076","0.310000002","Standing","Beggsetal","Leeetal","","","      0.00000000e+00","0","17720","","","","Use Default Correlation","No Calculations","103.999996382","284.413150206","","Yes","1","102.999986309","102.999986309","240.013793553","240.013793553","No","0","","","",""
"203_URM","203_URM","Oil and Water","Black Oil","285.943002344","833.945999661","0.993130028","1.019999981","0","1.230000019","0.5","Glaso","Bealetal","Leeetal","1.013253489","-17.777776","      0.00000000e+00","0","17720","0","0","0","Use Default Correlation","No Calculations","99.999998477","213.808347257","1.013253489","Yes","1","103.999996382","103.999996382","326.999653724","326.999653724","No","0","","","",""
"203_UTBG","203_UTBG","Oil and Water","Black Oil","130.000004761","869.000004744","0.798330009","56604.6015625","0","2.920000076","0.310000002","Standing","Beggsetal","Leeetal","","","      0.00000000e+00","0","17720","","","","Use Default Correlation","No Calculations","103.999996382","114.765465944","","Yes","1","103.000003263","103.000003263","240.013524226","240.013524226","No","0","","","",""
"204-Kulg","204-Kulg","Oil and Water","Black Oil","41.600000983","871.000003323","0.612020016","1.02699995","0","0","0","Standing","Beggsetal","Leeetal","1.013253489","-17.777776","      0.00000000e+00","0","17720","0","0","0","Use Default Correlation","No Calculations","103.999996382","229.498295986","1.013253489","Yes","1","82.999996786","82.999996786","108.88173517","108.88173517","No","0","","","",""
"204_UTBG","204_UTBG","Oil and Water","Black Oil","130.000004761","869.000004744","0.798330009","56604.6015625","0","2.920000076","0.310000002","Standing","Beggsetal","Leeetal","","","      0.00000000e+00","0","17720","","","","Use Default Correlation","No Calculations","103.999996382","146.733757522","","Yes","1","103.000003263","103.000003263","240.013524226","240.013524226","No","0","","","",""
"205-Kulg","205-Kulg","Oil and Water","Black Oil","78.79999856","839.999999094","0.803229988","101597","0","0.879999995","1.25999999","Standing","Beggsetal","Leeetal","","","      0.00000000e+00","0","17720","","","","Use Default Correlation","No Calculations","103.999996382","99.999997071","","Yes","1","82.000003668","82.000003668","123.01299918","123.01299918","No","0","","","",""
"205P_UTBG","205P_UTBG","Oil and Water","Black Oil","285.943002344","833.945999661","0.993130028","1.019999981","0","1.230000019","0.5","Glaso","Bealetal","Leeetal","1.013253489","-17.777776","      0.00000000e+00","0","17720","0","0","0","Use Default Correlation","No Calculations","103.999996382","229.498295986","1.013253489","Yes","1","103.999996382","103.999996382","326.999653724","326.999653724","No","0","","","",""
"205_URM","205_URM","Oil and Water","Black Oil","195.277990723","1035.999999665","0.811839998","0","0","1.230000019","0.5","Glaso","Bealetal","Leeetal","1.013253489","-17.777776","      0.00000000e+00","0","17720","0","0","0","Use Default Correlation","No Calculations","103.999996382","230.478930407","1.013253489","Yes","1","103.999996382","103.999996382","326.999990382","326.999990382","No","0","","","",""
"206_URM","206_URM","Oil and Water","Black Oil","285.943002344","833.945999661","0.993130028","1.019999981","0","1.230000019","0.5","Glaso","Bealetal","Leeetal","1.013253489","-17.777776","      0.00000000e+00","0","17720","0","0","0","Use Default Correlation","No Calculations","103.999996382","123.591066313","1.013253489","Yes","1","103.999996382","103.999996382","326.999653724","326.999653724","No","0","","","",""
"206_UTBG","206_UTBG","Oil and Water","Black Oil","130.000004761","869.000004744","0.798330009","56604.6015625","0","2.920000076","0.310000002","Standing","Beggsetal","Leeetal","","","      0.00000000e+00","0","17720","","","","Use Default Correlation","No Calculations","103.999996382","125.06200111","","Yes","1","103.000003263","103.000003263","240.013524226","240.013524226","No","0","","","",""
